,기업명,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
155,유니트론텍(2023/12),5981.0,309.0,200.0,2485.0,1133.0,96.0,89.0,87.0,788.0,5.17,3.35,18.64,7.91,119.31,983.0,4.17,5697.0,0.72,19246092.0
156,유니트론텍(2024/12),7123.0,361.0,197.0,3117.0,1319.0,96.0,36.0,32.0,1138.0,5.07,2.77,17.88,7.04,136.24,1086.0,4.47,6662.0,0.73,19246092.0
160,미코(2020/12),2809.0,439.0,281.0,5189.0,2350.0,157.0,535.0,60.0,2101.0,15.61,10.01,12.43,6.08,120.83,414.0,36.48,3827.0,3.95,31316603.0
161,미코(2021/12),3655.0,697.0,150.0,7183.0,3725.0,167.0,797.0,-383.0,2277.0,19.06,4.09,-11.63,2.42,92.84,-555.0,-26.036036036036037,5973.0,2.42,33416778.0
162,미코(2022/12),4148.0,643.0,-312.0,7312.0,3763.0,167.0,804.0,287.0,2308.0,15.49,-7.53,-33.23,-4.31,94.3,-1653.0,-4.434361766485178,4503.0,1.63,33416778.0
163,미코(2023/12),3817.0,299.0,-20.0,8339.0,3661.0,167.0,416.0,-60.0,3328.0,7.83,-0.53,-25.04,-0.26,127.79,-816.0,-11.127450980392156,2410.0,3.77,33416778.0
164,미코(2024/12),5405.0,946.0,765.0,13927.0,5328.0,167.0,1205.0,-829.0,5202.0,17.51,14.16,20.43,6.87,161.37,542.0,14.79,3220.0,2.49,33416778.0
168,동운아나텍(2020/12),707.0,23.0,8.0,702.0,299.0,79.0,-93.0,-95.0,289.0,3.29,1.12,2.91,1.28,135.04,42.0,266.34,1738.0,6.51,18795287.0
169,동운아나텍(2021/12),507.0,-158.0,-149.0,632.0,204.0,88.0,-94.0,-104.0,316.0,-31.18,-29.35,-59.13,-22.29,209.57,-774.0,-10.355297157622738,1136.0,7.05,19276264.0
170,동운아나텍(2022/12),501.0,-63.0,-84.0,630.0,212.0,91.0,6.0,-3.0,305.0,-12.48,-16.77,-40.46,-13.32,198.0,-431.0,-20.92343387470998,1114.0,8.1,19861628.0
171,동운아나텍(2023/12),1115.0,251.0,262.0,864.0,607.0,95.0,236.0,225.0,87.0,22.52,23.53,64.09,35.11,42.34,1294.0,14.8,2923.0,6.55,20784450.0
172,동운아나텍(2024/12),1383.0,175.0,247.0,988.0,713.0,95.0,342.0,331.0,88.0,12.63,17.89,37.48,26.71,38.59,1187.0,15.15,3516.0,5.12,20909936.0
192,피델릭스(2020/12),587.0,-37.0,-52.0,599.0,372.0,164.0,157.0,146.0,71.0,-6.38,-8.78,-14.08,-8.01,61.02,-180.0,-7.25,1138.0,1.15,32708336.0
193,피델릭스(2021/12),776.0,38.0,29.0,525.0,406.0,166.0,71.0,70.0,49.0,4.91,3.74,7.45,5.16,29.25,88.0,17.56,1226.0,1.26,33132064.0
194,피델릭스(2022/12),726.0,63.0,82.0,578.0,491.0,166.0,8.0,4.0,27.0,8.66,11.37,18.39,14.96,17.73,249.0,5.14,1482.0,0.86,33132064.0
195,피델릭스(2023/12),528.0,7.0,11.0,574.0,500.0,166.0,24.0,16.0,22.0,1.34,2.01,2.15,1.84,14.94,32.0,50.92,1509.0,1.08,33132064.0
196,피델릭스(2024/12),448.0,-45.0,-22.0,567.0,476.0,166.0,-15.0,-24.0,42.0,-10.11,-4.92,-4.52,-3.87,19.2,-67.0,-17.91044776119403,1436.0,0.84,33132064.0
200,피엠티(2020/12),510.0,49.0,64.0,661.0,478.0,54.0,100.0,83.0,69.0,9.68,12.62,14.48,10.35,38.39,595.0,11.11,4417.0,1.5,10819866.0
