기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
케이엔더블유(2024/12),785.0,-23.0,-23.0,28.0,34.0,34.0,,2076.0,795.0,1281.0,1281.0,,80.0,63.0,-194.0,491.0,207.0,-144.0,534.0,-2.91,4.39,2.72,1.92,62.02,1567.98,214.0,16.22,8075.0,0.43,,,,16060028.0
케이엔더블유(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이엔더블유(2026/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
케이엔더블유(2027/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코스텍시스(2020/12),77.0,5.0,5.0,2.0,2.0,2.0,,153.0,84.0,69.0,69.0,,20.0,-8.0,-1.0,7.0,1.0,-8.0,59.0,6.62,2.31,2.63,1.24,121.71,115.53,31.0,,1184.0,,0.0,0.0,0.0,5032533.0
코스텍시스(2021/12),104.0,3.0,3.0,2.0,7.0,7.0,,306.0,205.0,101.0,101.0,,21.0,-14.0,-106.0,122.0,110.0,-123.0,168.0,2.63,6.86,8.38,3.1,203.55,171.56,121.0,,1558.0,,0.0,0.0,0.0,6460163.0
코스텍시스(2022/12),254.0,36.0,36.0,-14.0,-11.0,-11.0,,353.0,259.0,94.0,94.0,,22.0,61.0,-43.0,-4.0,43.0,17.0,149.0,14.1,-4.26,-11.07,-3.28,274.34,134.81,-163.0,,1416.0,,0.0,0.0,0.0,6664984.0
코스텍시스(2023/12),115.0,-13.0,-13.0,-110.0,-114.0,-114.0,,378.0,119.0,259.0,259.0,,38.0,-61.0,85.0,-40.0,14.0,-75.0,96.0,-11.43,-98.53,-64.48,-31.13,46.14,472.75,-1584.0,,3438.0,3.24,0.0,0.0,0.0,7520770.0
코스텍시스(2024/12),142.0,-19.0,-19.0,-18.0,-18.0,-18.0,,400.0,174.0,226.0,226.0,,39.0,-13.0,-10.0,30.0,10.0,-24.0,142.0,-13.33,-12.63,-7.41,-4.62,77.05,444.57,-233.0,,3051.0,1.67,,,,7797350.0
코스텍시스(2025/12)(예측),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
