기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
GS,243695.45,33623.05,13736.9,330419.35,164510.65,4735.0,23560.45,116600.0,13.363,5.3605,9.5705,4.218999999999999,102.65899999999999,11794.55,2.0199200156067105,131522.55,0.3135,92915378.0
GS건설,120459.35,2718.0,1598.25,168117.6,49807.85,4254.6,4178.45,51745.4,2.659,1.5914999999999995,2.6540000000000004,1.081,237.56300000000002,1353.7,4.427155744983129,53037.6,0.4305,85094161.3
GS리테일,108178.1,2749.05,1536.3,88876.4,38757.55,956.0,7519.2,30606.6,2.5505000000000004,1.5745,4.918,1.8475000000000001,131.645,1689.8,250.86550000000003,38212.75,0.6475,95612977.7
HD한국조선해양,202604.1,2294.05,1588.65,316714.65,129058.75,3539.0,20158.2,38575.0,0.3150000000000002,-0.12750000000000022,1.3845000000000003,0.19450000000000003,144.8255,1992.0,7.160499868135527,145908.45,0.924,70773116.0
HD현대,539766.0,21760.4,11661.3,602925.8,212638.25,814.0,37532.9,174035.55,3.4945,1.5705000000000002,5.743,1.7630000000000003,182.7315,5294.2,3.985484560264318,107240.35,0.6024999999999999,78993085.0
HD현대미포,38544.35,-624.2,-347.95,46512.3,21381.75,1997.0,526.65,2990.75,-1.959,-1.236,-1.7295000000000003,-0.9209999999999999,118.91100000000002,-973.85,-18.299175399689354,52430.55,1.8045000000000002,39942149.0
HD현대인프라코어,44382.45,2924.5,2497.95,52581.35,19888.55,2869.2,3835.55,17150.95,6.514,5.5615,12.518,4.229,167.6445,1083.65,8.4025,8684.9,0.8535,205385553.7
HD현대일렉트릭,25453.2,3148.25,2377.2,29127.1,10475.9,1802.0,3166.1,5721.95,10.703,7.939,21.809500000000003,7.8795,187.8315,6621.1,8.317768188759999,28948.65,4.0785,36047135.0
HD현대중공업,133398.63636363635,4658.363636363636,3502.2727272727275,183648.54545454544,54784.90909090909,4439.0,16497.636363636364,20859.727272727272,3.333636363636364,2.4354545454545455,6.426363636363636,1.9227272727272726,234.97090909090912,3945.090909090909,233.25545454545454,61714.0,3.438181818181818,88773116.0
HL만도,77344.35,2708.0,1379.5,62059.25,23232.35,470.0,3533.85,20980.3,3.4364999999999997,1.7725000000000002,5.5755,2.2915,168.022,2516.6,62.02900000000001,46914.15,1.0074999999999998,46957120.0
HMM,120373.15,43946.25,42132.05,254150.25,195956.65,32020.4,54403.25,43298.3,31.004999999999995,29.463,32.9335,19.9805,72.92250000000001,8212.65,7.8405000000000005,29454.5,0.8780000000000001,640408178.7
HS효성첨단소재,33413.45,2414.7,1198.3,31989.95,8665.85,224.0,3234.2,17574.25,6.9590000000000005,3.3880000000000003,15.176499999999999,4.1345,288.1605,19836.1,867.6450000000001,172723.55,2.094,4479948.0
JB금융지주,36974.35,7901.85,6004.25,616301.0,50009.35,9849.0,-5915.25,124838.5,21.940000000000005,16.6855,12.575500000000002,0.9970000000000001,1138.7009999999998,2964.95,3.6759999999999997,25186.2,0.43050000000000005,196412985.2
KB금융,759176.0,64457.5,44356.55,7046743.2,550094.95,20906.0,17274.8,1191929.4,8.5565,5.926,8.7375,0.6479999999999999,1186.717,11093.0,5.406999999999999,140221.1,0.43150000000000005,404667688.5
